refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
62022,"808.096234944042",3,3,1,4,1,"4","5"
56005,"76.660711607816",1,1,3,1,1,"1","5"
44020,"418.29850397756996",3,3,5,3,1,"3","3"
44019,"485.00222461287905",2,3,5,3,3,"3","2"
35011,"249.941126876809",1,4,5,2,3,"1","2"
31005,"847.8819576612119",3,5,4,4,3,"3","2"
24008,"178.965977392831",2,2,4,2,1,"3","3"
21014,"23322.25867821",5,4,3,5,5,"5","5"
21004,"5872.20753094877",5,5,3,5,4,"4","5"
21001,"6981.41118678129",5,5,4,5,4,"4","1"
13010,"406.04713065432696",4,2,4,3,1,"2","4"
12025,"1346.97402818105",3,5,4,5,1,"3","1"
12021,"760.41723876652",3,3,4,4,1,"3","2"
11054,"332.98055981583497",2,2,4,3,1,"2","4"
71022,"782.477551159128",4,5,4,4,1,"3","3"
56049,"138.34905880224798",2,1,4,1,1,"3","4"
64023,"134.06574278711201",3,1,5,1,1,"2","5"
84075,"46.9463547570111",1,2,1,1,1,"1","4"
83049,"31.343205116133298",1,1,2,1,1,"1","5"
83040,"50.347941406170904",2,2,2,1,1,"1","4"
61072,"319.721539094389",3,2,3,3,1,"3","4"
61041,"104.370421734182",2,1,2,1,1,"2","5"
55004,"272.58225180937",4,4,4,2,1,"2","3"
53044,"186.774010786586",4,2,4,2,1,"2","4"
44034,"380.3723827988",3,4,5,3,1,"2","3"
36007,"697.27535424437",4,3,5,4,1,"2","3"
25117,"245.23315775289598",2,2,4,2,1,"3","4"
25014,"773.471227019434",4,4,3,4,1,"3","4"
24137,"201.029094089396",2,2,4,2,1,"3","4"
23016,"1076.47645556734",3,4,4,5,3,"3","2"
13008,"379.588154294072",5,5,4,3,1,"2","3"
73083,"363.44104868896096",4,4,4,3,1,"3","5"
72030,"189.534010791517",1,3,4,2,1,"2","3"
71004,"609.6470099897721",2,4,3,4,1,"3","3"
63001,"44.477738800375896",1,2,2,1,1,"2","5"
62122,"324.465462628141",2,1,1,3,1,"3","5"
57064,"282.533271837744",2,3,4,2,1,"3","5"
52075,"222.028664738462",3,2,4,2,1,"3","5"
43007,"195.813834938599",3,2,5,2,1,"2","3"
21002,"3942.32995648781",5,4,3,5,4,"4","2"
73042,"445.60892688855193",2,3,4,3,1,"3","4"
64047,"227.448677437865",2,2,4,2,1,"3","4"
64021,"208.61326453888597",2,1,4,2,1,"3","5"
93088,"148.800061519338",3,3,3,1,1,"2","5"
92141,"175.179863832533",2,2,4,2,1,"2","4"
92138,"124.899169861868",2,1,4,1,1,"2","5"
91142,"108.99082605769199",2,1,1,1,1,"2","4"
84009,"64.9438339815514",5,3,2,1,1,"2","4"
63067,"68.1961927604838",1,3,2,1,1,"2","5"
45068,"222.828553417342",2,4,5,2,1,"2","5"
45063,"258.58781338145",3,1,4,2,1,"3","3"
42006,"830.0302084572501",5,4,5,4,1,"3","2"
36015,"1083.96456978322",4,5,5,5,1,"3","3"
25120,"179.081751380551",2,2,4,2,1,"3","4"
25112,"841.6257595800699",4,4,3,4,1,"3","5"
25018,"244.446361995409",2,3,3,2,1,"2","5"
23044,"1363.88251956091",3,2,4,5,1,"3","2"
13049,"459.107504098273",2,3,4,3,1,"2","3"
13040,"827.4001322062791",5,4,4,4,1,"3","2"
12041,"544.838962457457",4,3,4,3,1,"3","3"
71057,"364.783183181555",2,4,3,3,1,"3","4"
11008,"999.873975702661",3,4,3,4,1,"3","3"
63003,"222.81480349723802",3,2,3,2,1,"3","5"
44084,"246.384964604721",4,4,4,2,1,"2","3"
34043,"190.106579888314",1,1,5,2,1,"2","4"
25050,"487.45892059813605",3,2,2,3,1,"3","4"
23094,"1313.17329075932",4,4,4,5,1,"3","5"
71002,"371.191927375445",2,2,3,3,1,"2","4"
11021,"1403.1265261535",4,2,4,5,1,"4","2"
93022,"84.5090089927602",1,2,3,1,1,"1","4"
92142,"274.851324577741",3,4,4,2,1,"3","4"
91103,"49.8994868712577",2,2,2,1,1,"1","5"
85024,"51.2655001503491",2,2,1,1,1,"1","5"
84059,"51.2644600982168",1,1,2,1,1,"1","4"
63038,"81.9092878249732",2,2,2,1,1,"2","5"
63013,"58.975903783312",1,2,3,1,1,"1","4"
52025,"269.079962948291",2,2,3,2,1,"3","5"
41002,"1145.0926958945001",3,4,4,5,1,"3","2"
37015,"300.66700988495995",3,4,5,3,1,"2","3"
35029,"277.014769902196",2,4,5,2,4,"1","3"
35006,"313.57654042919097",2,2,5,3,1,"2","3"
34042,"401.794830303782",1,2,4,3,1,"2","3"
33011,"269.194808105683",3,3,5,2,1,"2","3"
25023,"399.993540569429",2,3,2,3,1,"3","4"
24107,"498.577072413476",5,3,4,3,1,"3","2"
24001,"489.398077481166",5,4,3,3,1,"3","3"
13044,"291.20186983167804",2,2,4,2,1,"1","2"
12007,"475.93373578623704",4,3,4,3,1,"2","5"
72038,"168.421274478762",2,2,4,2,1,"1","3"
71069,"345.768389040768",2,3,3,3,1,"2","3"
92045,"207.418868103351",2,1,2,2,1,"2","4"
57094,"189.31747444606899",4,2,4,2,1,"2","4"
24104,"687.132288596394",2,3,3,4,3,"3","2"
21018,"8195.963853191639",5,5,3,5,4,"4","2"
11037,"765.10152446119",3,3,4,4,1,"3","2"
85045,"119.382711902536",3,3,2,1,1,"2","4"
42008,"625.8544499588561",2,3,5,4,1,"2","2"
38025,"127.75726781613399",3,2,5,1,1,"1","3"
38002,"62.620469132135604",1,2,5,1,1,"1","3"
37011,"197.026542537062",3,2,5,2,1,"1","4"
33037,"185.895618596823",2,2,4,2,1,"1","3"
31012,"269.939438987532",2,2,5,2,1,"1","4"
23038,"369.862371670462",3,3,4,3,1,"2","3"
72021,"333.450490796834",1,4,4,3,1,"2","3"
63087,"36.178984995025395",1,1,1,1,1,"2","5"
62099,"637.00355176735",2,3,3,4,1,"3","5"
56088,"66.0454102029038",1,1,3,1,1,"2","5"
52074,"486.202688772664",3,2,2,3,1,"3","4"
46025,"777.9030346897471",4,2,5,4,1,"2","2"
44081,"488.38388096326605",2,2,5,3,1,"1","3"
24094,"470.140743196359",5,2,3,3,1,"2","3"
73040,"256.74740930359496",2,2,4,2,1,"3","3"
11030,"2019.86156681704",5,2,4,5,1,"4","3"
92101,"245.15169786162",2,3,2,2,1,"3","5"
84077,"66.06785530327231",3,3,3,1,1,"2","4"
84068,"44.3008026961296",1,2,1,1,1,"1","5"
63057,"254.522037293651",2,1,1,2,1,"2","5"
62038,"1190.9024001550501",3,3,3,5,1,"4","4"
55086,"1231.46054370156",4,3,4,5,1,"4","3"
55050,"329.427241515864",4,2,4,3,1,"2","4"
53046,"93.8874437264894",4,2,5,1,1,"1","4"
45064,"137.36493495272",2,1,4,1,1,"2","3"
41034,"640.9641170824669",3,3,4,4,1,"3","2"
35005,"286.296629498525",2,2,5,2,1,"1","2"
