refnis,km/j/pers,imat_communes_IMAT
55050,54,"5834"
53046,54,"2466"
45064,48,"3275"
41034,48,"9434"
35005,48,"6250"
33029,48,"9354"
24130,48,"4665"
12005,48,"7723"
71045,48,"4023"
71011,48,"10730"
11002,48,"219900"
43005,48,"10454"
34041,48,"16801"
24043,48,"5002"
21016,59,"38345"
13035,48,"8468"
71067,48,"4316"
64065,54,"3986"
63084,54,"5492"
11022,48,"10385"
93014,54,"7393"
62015,54,"5773"
52012,54,"16324"
41011,48,"8881"
38014,48,"12368"
34022,48,"44210"
31006,48,"6365"
25048,54,"7582"
25044,54,"3836"
25037,54,"7677"
24011,48,"4896"
23086,48,"8077"
23062,48,"14292"
12014,48,"23658"
12002,48,"6087"
82038,54,"1401"
81015,54,"4581"
64074,54,"7717"
51012,54,"1911"
46020,48,"10150"
21015,59,"37222"
21013,59,"13173"
24048,48,"7582"
23099,48,"6610"
71016,48,"36486"
63079,54,"23981"
93018,54,"1674"
93010,54,"2773"
92137,54,"13958"
85009,54,"3505"
84043,54,"4342"
36010,48,"5219"
36006,48,"5663"
24133,48,"3930"
23009,48,"1173"
23003,48,"13024"
13011,48,"15778"
12040,48,"12614"
82014,54,"2838"
81013,54,"1060"
81003,54,"3013"
63089,54,"3680"
63048,54,"3528"
73028,48,"41"
25121,54,"14356"
21009,59,"35919"
72020,48,"19455"
63075,54,"1871"
11007,48,"4683"
63058,54,"4812"
53084,54,"4733"
53028,54,"10493"
32010,48,"4762"
32003,48,"9022"
81004,54,"8882"
64034,54,"9272"
58004,54,"9492"
52018,54,"4914"
35013,48,"28544"
25118,54,"2004"
25015,54,"6052"
23088,48,"18746"
21012,59,"23797"
64008,54,"1801"
62108,54,"9342"
62011,54,"4876"
61079,54,"2501"
61048,54,"1579"
24007,48,"5852"
13025,48,"19621"
13002,48,"1626"
72042,48,"13666"
71024,48,"7117"
92054,54,"4052"
92035,54,"8945"
62100,54,"9016"
56086,54,"8153"
52022,54,"9094"
34040,48,"23314"
34009,48,"7163"
73022,48,"4111"
25072,54,"15211"
13031,48,"7723"
85026,54,"2553"
83034,54,"9554"
61031,54,"10488"
42028,48,"9783"
42023,48,"6119"
41048,48,"19052"
34013,48,"15527"
34002,48,"8314"
25124,54,"3949"
24109,48,"8281"
13053,48,"9220"
13013,48,"7984"
83031,54,"2169"
72003,48,"7538"
71017,48,"4630"
62120,54,"13554"
62096,54,"28717"
62093,54,"10505"
62006,54,"5425"
62003,54,"14085"
56001,54,"6418"
53014,54,"9275"
46013,48,"8174"
36008,48,"15570"
23033,48,"5502"
11056,48,"10217"
11038,48,"4234"
