refnis,km/j/pers,imat_communes_IMAT,int_moy,total_Mkm
13010,48,6424,3,67.529088
12025,48,34488,4,483.383808
12021,48,17402,3,182.929824
11054,48,7587,2,53.169696
71022,48,43450,5,761.244
56049,54,2242,2,17.675928
64023,54,1814,2,14.301576
84075,54,1695,1,6.68169
83049,54,1612,1,6.354504
83040,54,2985,1,11.76687
61072,54,7638,3,90.326988
61041,54,2770,1,10.91934
55004,54,11100,3,131.2686
53044,54,5787,3,68.437062
44034,48,11947,4,167.449152
36007,48,6204,4,86.955264
25117,54,3898,2,30.731832
25014,54,20614,4,325.041552
24137,48,3026,3,31.809312
23016,48,20780,5,364.0656
13008,48,22292,5,390.55584
73083,48,22211,5,389.13672
72030,48,9022,2,63.226176
71004,48,25267,3,265.606704
63001,54,3229,1,12.728718
62122,54,4472,1,17.628624
57064,54,9448,3,111.732048
52075,54,5283,3,62.476758
43007,48,3455,2,24.21264
21002,59,12418,5,267.42163
73042,48,15005,3,157.73256
64047,54,1719,2,13.552596
64021,54,2090,2,16.47756
93088,54,10382,3,122.777532
92141,54,5033,2,39.680172
92138,54,4692,1,18.495864
91142,54,3248,1,12.803616
84009,54,4551,3,53.820126
63067,54,5824,2,45.916416
45068,48,10027,3,105.403824
45063,48,3547,2,24.857376
42006,48,22451,5,393.34152
36015,48,35349,5,619.31448
25120,54,4901,2,38.639484
25112,54,19404,4,305.962272
25018,54,6829,3,80.759754
23044,48,6190,3,65.06928
13049,48,13956,3,146.705472
13040,48,21108,5,369.81216
12041,48,13754,4,192.776064
71057,48,11150,4,156.2784
11008,48,19913,4,279.100608
63003,54,2464,3,29.139264
44084,48,15638,4,219.182208
34043,48,1177,2,8.248416
25050,54,4125,3,48.78225
23094,48,138607,5,2428.39464
71002,48,4583,2,32.117664
11021,48,3876,4,54.326016
93022,54,5927,1,23.364234
92142,54,13777,4,217.235736
91103,54,1819,1,7.170498
85024,54,1603,1,6.319026
84059,54,2902,1,11.439684
63038,54,5033,1,19.840086
63013,54,3120,1,12.29904
52025,54,7463,2,58.838292
41002,48,42318,4,593.129088
37015,48,10776,4,151.036416
35029,48,6713,3,70.567056
35006,48,7693,2,53.912544
34042,48,13297,2,93.185376
33011,48,18539,3,194.881968
25023,54,5418,3,64.073268
24107,48,16463,4,230.745408
24001,48,16247,4,227.717952
13044,48,4070,1,14.26128
12007,48,13696,3,143.972352
72038,48,7035,1,24.65064
71069,48,6070,3,63.80784
92045,54,4429,1,17.459118
57094,54,7395,3,87.45327
24104,48,10279,3,108.052848
21018,59,23247,5,500.624145
11037,48,7700,3,80.9424
85045,54,6003,2,47.327652
42008,48,12072,3,126.900864
38025,48,6722,2,47.107776
38002,48,2596,1,9.096384
37011,48,3787,3,39.808944
33037,48,6903,2,48.376224
31012,48,8087,1,28.336848
23038,48,6738,3,70.829856
72021,48,14122,3,148.450464
63087,54,2303,1,9.078426
62099,54,9705,3,114.77133
56088,54,2712,1,10.690704
52074,54,5729,3,67.751154
46025,48,15478,4,216.939648
44081,48,8365,2,58.62192
24094,48,8935,3,93.92472
73040,48,4729,2,33.140832
11030,48,5579,4,78.195264
92101,54,6939,2,54.707076
84077,54,6321,3,74.752146
84068,54,1436,1,5.660712
63057,54,2502,1,9.862884
62038,54,8529,4,134.485272
55086,54,11555,4,182.19924
55050,54,5834,3,68.992884
53046,54,2466,2,19.441944
45064,48,3275,1,11.4756
41034,48,9434,3,99.170208
35005,48,6250,1,21.9
33029,48,9354,3,98.329248
24130,48,4665,2,32.69232
12005,48,7723,3,81.184176
71045,48,4023,3,42.289776
71011,48,10730,3,112.79376
11002,48,219900,5,3852.648
43005,48,10454,4,146.523264
34041,48,16801,4,235.482816
24043,48,5002,2,35.054016
21016,59,38345,5,825.759575
13035,48,8468,1,29.671872
71067,48,4316,1,15.123264
64065,54,3986,3,47.138436
63084,54,5492,3,64.948392
11022,48,10385,3,109.16712
93014,54,7393,2,58.286412
62015,54,5773,3,68.271498
