simulation,pass_km_total_Mkm
691,28728.78103932832
692,34503.78237083595
693,33358.24423018057
694,30264.3968044776
695,34747.567373820144
696,33436.612459162905
697,29151.662301003445
698,29372.46180580308
699,32196.783499310448
700,32314.097670991167
701,30744.05589490922
702,30503.447657730787
703,29926.79821949117
704,29071.74605422548
705,31197.52015107388
706,28068.570249350953
707,31696.961450480743
708,31079.23637990291
709,32650.986576796044
710,28017.393490251703
711,29704.737542123527
712,29389.40592147682
713,29271.476800455734
714,30707.7082319629
715,30465.999837821822
716,31707.102678908814
717,31770.92738975031
718,32211.634892637612
719,33593.09948365219
720,32504.61731045168
721,33741.436197916366
722,31305.89877157262
723,31383.2292545607
724,28437.197585383336
725,29863.4124745954
726,34209.86619263908
727,31302.14689575289
728,29881.24944161061
729,31397.18498592805
730,29714.010255116806
731,33849.38861992425
732,31468.35160193666
733,29655.34251452037
734,29713.968165845657
735,30099.212272430235
736,31487.459561490014
737,31170.940965752394
738,29628.324957459005
739,27931.896743760222
740,30915.736485444526
741,30899.897620293483
742,33200.1277703954
743,32963.38087969868
744,28958.854168264672
745,32663.915750826043
746,30481.98503185795
747,32926.95658899448
748,31866.256098680737
749,31208.160368506775
750,32528.621337589222
751,31958.025657441744
752,30137.521789563478
753,29013.97136438829
754,28918.800753529413
755,29614.927484103027
756,30394.02001182518
757,28118.55429391862
758,30214.115222035885
759,28996.549200521673
760,33295.672264504945
761,31497.179382944672
762,29899.14601264815
763,32820.59469652846
764,31613.707694260815
765,31453.16791608648
766,28084.656062861435
767,32169.371743929853
768,30896.109132523958
769,31353.457131352174
770,32377.994019520174
771,31864.817178072386
772,34122.266490597336
773,30498.245891615967
774,31398.544603931696
775,30071.240662475087
776,32513.017731770065
777,32292.688136683704
778,29917.794505513662
779,30459.79983156807
780,33147.06608637889
781,32680.10425276415
782,30135.493587978242
783,31123.74069264441
784,28759.33541940672
785,30981.71747974612
786,34663.143064256685
787,31828.66550527069
788,30586.941284131884
789,30441.052459909653
790,29193.698632241056
791,28701.692141794923
792,32456.909701686185
793,28852.904773084298
794,29495.33547718471
795,31319.13739181708
796,32072.697631452294
797,32261.842715064926
798,31696.48444539799
799,31094.15650028547
800,29361.79010657406
801,31191.366913754744
802,34898.22346627107
803,29742.775103653123
804,33631.74082996318
805,30593.730371706744
806,29357.024678395734
807,32088.800261245895
808,35680.62128036151
809,33212.35657729807
810,34234.82322101329
811,30228.89754370574
812,31950.95468746625
813,31905.462727081333
814,29160.41680440251
815,31086.76452230593
816,30810.38405571904
817,33517.78654466438
818,32225.884559339884
819,31840.73540040332
820,32715.7437054646
821,32477.556963121962
822,30969.233347508343
823,32365.29263387144
824,30139.8053521597
825,29728.629267609023
826,32728.341957118406
827,33713.61501720412
828,30430.924477097153
829,29949.82078969915
830,33059.43447505508
831,30147.551958222764
832,31619.77491463083
833,30707.852649092907
834,30405.005285299074
835,28696.68604296056
836,30797.094396007695
837,33153.99191619274
838,32113.113540902898
839,30793.748569309526
840,31422.364456082596
