refnis,moyenne_evitees,ci_2.5,ci_97.5
64075,539.1386333398763,495.34430510047696,585.2912451174298
64056,926.1077617010288,868.3276150237942,986.0734236979911
64029,844.7187972905515,792.0165330110507,899.4145076339865
11053,4329.109227541897,4117.766006305226,4544.527470227929
93090,996.6975180887329,932.6767340777951,1061.0335616833534
91064,965.588540965826,887.8292663210663,1046.0233878949912
84029,244.21149230801808,226.48446716937207,261.98838940851385
63023,4698.231030434929,4480.661349573588,4924.518580384574
42003,3544.2956429338033,3398.8512895850413,3698.193343445884
37020,2020.6374531293138,1926.205354894969,2124.703093778796
33039,1508.0645890660953,1408.2020305294575,1610.939279758065
32011,2670.2930500269854,2544.7591368667217,2806.0578527551647
25122,1545.8852089319494,1415.6705345839955,1680.0418356152015
25043,1125.6463554874906,1041.520398705316,1213.8362190404855
23081,3194.3281611211432,3093.432897906698,3299.116907846795
23025,8918.854907360319,8466.762771421596,9374.920342576122
13036,1819.5628122584994,1734.2977942846221,1912.1807925802452
13014,3933.667651124376,3703.760811111222,4176.146079362519
13012,2003.360359387858,1927.1765021633328,2084.5065109986513
82032,1651.2400883924843,1567.2270878221539,1735.6492624810096
72041,4983.756117563411,4723.693534528643,5258.444149193817
64015,1172.445221264456,1087.5295088375115,1260.4219905842829
24059,3530.7938411086516,3376.391126992008,3690.0447684762726
61063,1101.6284071721032,1032.8974737078424,1172.9590659168293
57018,1181.2541013926923,1088.8427222742182,1278.577638904221
45035,8712.268947849258,8402.20097778862,9022.524774477772
23047,61723.20045858898,59335.352222159694,64219.935843713
73001,3509.2184495823963,3340.357899284351,3684.351171013454
73032,2670.543123119508,2567.713790703655,2779.959860383396
11035,3962.050725499536,3806.1957647650884,4129.11554154645
91120,1006.841964602436,916.445596595284,1100.9936634063688
91072,1106.1198075983784,1025.789273819241,1186.9790234574616
91015,522.3562079953749,486.4795242000269,558.759765727535
85034,634.7238999437536,596.5976500406451,674.7459321543346
84050,776.0295470627824,717.3319654367547,836.9882055193511
61028,1069.481430495732,999.9640297181463,1141.7716317013696
51014,1389.7652752295573,1301.7220157278257,1482.3354838530531
45065,1566.617475548871,1505.1752469877817,1634.6457489151173
41063,2401.9690951037137,2316.7215827002838,2492.636405545802
24014,3373.3409187270986,3215.4348442336805,3533.2844403321124
23002,6886.509647872273,6587.190153557839,7186.153737822986
