Refnis,Lieu de résidence,Population,Superficie en km²,Density
13004,Beerse,18416,37.35966,492.9381048971
13006,Dessel,9805,27.446626000000002,357.23880960814597
13008,Geel,41828,110.193112,379.588154294072
13010,Grobbendonk,11519,28.368627999999998,406.04713065432696
13011,Herentals,28575,47.947542999999996,595.963801523678
13012,Herenthout,9417,23.607938,398.891254289129
13013,Herselt,14805,52.371898,282.68977381724795
13014,Hoogstraten,22245,105.394838,211.06346783321598
13016,Hulshout,10564,17.378706,607.870344316775
13017,Kasterlee,19478,72.269409,269.519292734219
13019,Lille,16871,59.619267,282.978990667564
13021,Meerhout,10348,36.539249,283.202317595526
13023,Merksplas,8799,44.599638000000006,197.288596826728
13025,Mol,38159,114.545434,333.134186736767
13029,Olen,12689,23.123991,548.7374562634969
13031,Oud-Turnhout,14734,39.169292,376.16201998238796
13035,Ravels,15338,95.134302,161.224707361599
13036,Retie,11841,48.499576,244.14646429073898
13037,Rijkevorsel,12531,46.843927,267.505326784409
13040,Turnhout,46923,56.711376,827.4001322062791
13044,Vorselaar,8044,27.623449,291.20186983167804
13046,Vosselaar,11802,11.832645,997.4101310400171
13049,Westerlo,25466,55.46849,459.107504098273
13053,Laakdal,16707,42.429379,393.76018206629897
20001,Province du Brabant flamand,1187483,2118.354469,560.568600476279
20002,Province du Brabant wallon,412934,1097.197258,376.353474262875
21000,Arrondissement de Bruxelles-Capitale,1241175,162.41978600000002,7641.772166846719
21001,Anderlecht,125065,17.914,6981.41118678129
21002,Auderghem,35346,8.965764,3942.32995648781
21003,Berchem-Sainte-Agathe,25396,2.95008,8608.5801063022
21004,Bruxelles,194291,33.086535,5872.20753094877
21005,Etterbeek,49558,3.174197,15612.7675755475
21006,Evere,44255,5.124829999999999,8635.40839403453
21007,Forest (Bruxelles-Capitale),57724,6.292049,9174.118001941819
21008,Ganshoren,25548,2.437669,10480.504120945
21009,Ixelles,88521,6.411134,13807.385713666301
21010,Jette,53704,5.189330999999999,10348.9255166032
21011,Koekelberg,22563,1.181925,19090.0437845041
21012,Molenbeek-Saint-Jean,98270,6.0156089999999995,16335.835656872001
21013,Saint-Gilles,49323,2.533796,19466.0501476836
21014,Saint-Josse-ten-Noode,27068,1.160608,23322.25867821
21015,Schaerbeek,130775,7.901317000000001,16551.0382636211
21016,Uccle,86101,22.874935,3763.9888375639102
21017,Watermael-Boitsfort,25392,12.968119999999999,1958.03246731215
21018,Woluwe-Saint-Lambert,59778,7.29359,8195.963853191639
21019,Woluwe-Saint-Pierre,42497,8.944297,4751.29571390574
23000,Arrondissement de Hal-Vilvorde,664201,949.110318,699.8143286437221
23002,Asse,35191,50.221318000000004,700.7183682435419
23003,Beersel,26474,30.401594,870.809602943846
23009,Biévène,2265,19.235905,117.74855407115
23016,Dilbeek,44650,41.47791599999999,1076.47645556734
23023,Gammerages,8912,35.288517,252.54674204642802
23024,Gooik,9428,40.214088000000004,234.44520238778003
23025,Grimbergen,39368,38.669883,1018.0532483121301
23027,Hal (Hal-Vilvorde),42047,44.982429,934.7427636688981
23032,Herne,6763,44.661933,151.42649557957998
23033,Hoeilaart,11537,20.534474,561.835672050816
23038,Kampenhout,12445,33.647651,369.862371670462
23039,Kapelle-op-den-Bos,9659,15.367249999999999,628.544469570027
23044,Liedekerke,13877,10.17463,1363.88251956091
23045,Londerzeel,19288,36.527235,528.044348278757
23047,Machelen (Hal-Vilvorde),16486,11.495571,1434.1175397028999
23050,Meise,20239,35.065334,577.1797297011341
23052,Merchtem,17740,36.902018,480.73251712142104
23060,Opwijk,14890,19.919285,747.51679088883
23062,Overijse,25978,44.987914,577.443977509159
