Refnis,Lieu de résidence,Population,Superficie en km²,Density
72018,Kinrooi,12330,54.803271,224.98657060086802
72020,Lommel,34826,102.278417,340.501945781973
72021,Maaseik,25737,77.18387200000001,333.450490796834
72030,Peer,16534,87.23500299999999,189.534010791517
72037,Hamont-Achel,14458,43.72945,330.623870183595
72038,Hechtel-Eksel,12914,76.676774,168.421274478762
72039,Houthalen-Helchteren,30960,78.227462,395.768943647948
72041,Dilsen-Stokkem,21305,65.885154,323.36571604583304
72042,Oudsbergen,23791,116.369765,204.443138645163
72043,Pelt,34100,83.78358899999999,407.000946211555
73000,Arrondissement de Tongres,209025,633.116903,330.152297323832
73001,Alken,11839,28.235324000000002,419.297472910174
73006,Bilzen,32644,75.979351,429.64304867515904
73009,Looz,11455,51.322043,223.19844126236399
73022,Heers,7554,53.059651,142.368067969388
73028,Herstappe,77,1.34735,57.1492188369763
73032,Hoeselt,9921,30.103326000000003,329.56491252827
73040,Kortessem,8726,33.986711,256.74740930359496
73042,Lanaken,26270,58.953038,445.60892688855193
73066,Riemst,16850,58.056242000000005,290.235802723848
73083,Tongres,31915,87.813416,363.44104868896096
73098,Wellen,7473,26.802743999999997,278.814736282225
73107,Maasmechelen,39914,76.84933699999999,519.379887428307
73109,Fourons,4387,50.60837000000001,86.68526569814439
80000,Province du Luxembourg,293967,4459.251641,65.9229448495706
81000,Arrondissement d’Arlon,65069,318.859382,204.06801139694898
81001,Arlon,31222,119.058744,262.240293749445
81003,Attert,5730,71.084423,80.6083774500076
81004,Aubange,17652,46.111177,382.813910822532
81013,Martelange,2003,29.984351999999998,66.8015103344571
81015,Messancy,8462,52.620686,160.811282467887
82000,Arrondissement de Bastogne,50485,1046.598805,48.2372039398612
82003,Bastogne,16785,173.025946,97.0085723444043
82005,Bertogne,3739,91.659314,40.792362901603205
82009,Fauvillers,2435,74.787471,32.5589295565296
82014,Houffalize,5292,167.410773,31.610868913436104
82032,Vielsalm,7942,140.700863,56.4459935117811
82036,Vaux-sur-Sûre,6143,135.717627,45.2630961488886
82037,Gouvy,5483,165.35372500000003,33.159216703464
82038,Sainte-Ode,2666,97.94308600000001,27.2198897224864
83000,Arrondissement de Marche-en-Famenne,57580,958.068409,60.100092497674694
83012,Durbuy,11507,157.079449,73.2559228674147
83013,Erezée,3334,78.892586,42.2599913254206
83028,Hotton,5722,57.023236,100.345059336864
83031,La Roche-en-Ardenne,4161,148.52673000000001,28.0151592915295
83034,Marche-en-Famenne,17897,122.07216899999999,146.60999428952599
83040,Nassogne,5695,113.11286700000001,50.347941406170904
83044,Rendeux,2679,69.231874,38.6960491637132
83049,Tenneville,2882,91.949754,31.343205116133298
83055,Manhay,3703,120.17974399999999,30.8121807947935
84000,Arrondissement de Neufchâteau,65655,1358.450907,48.330785942785596
84009,Bertrix,8994,138.488898,64.9438339815514
84010,Bouillon,5400,148.643549,36.3285190398677
84016,Daverdisse,1415,56.86929,24.8816188842871
84029,Herbeumont,1728,58.420258999999994,29.578780196780702
84033,Léglise,5746,173.72402999999997,33.075447305706604
84035,Libin,5381,140.580975,38.2768721016482
84043,Neufchâteau (Neufchâteau),8186,114.45742899999999,71.5200408703921
84050,Paliseul,5515,111.25261200000001,49.571869827200096
84059,Saint-Hubert,5741,111.98791499999999,51.2644600982168
84068,Tellin,2523,56.951564,44.3008026961296
84075,Wellin,3186,67.864694,46.9463547570111
84077,Libramont-Chevigny,11840,179.209692,66.06785530327231
85000,Arrondissement de Virton,55178,777.274138,70.9891109229213
85007,Chiny,5274,114.06273999999999,46.2377109299671
85009,Etalle,6063,79.43519599999999,76.3263679742164
85011,Florenville,5838,148.066249,39.4282967214223
85024,Meix-devant-Virton,2818,54.968741,51.2655001503491
85026,Musson,4675,35.371108,132.17001853603202
85034,Saint-Léger (Virton),3742,36.250602,103.22587194552
85039,Tintigny,4512,81.882368,55.1034381418964
85045,Virton,11416,95.625236,119.382711902536
85046,Habay,8699,103.515136,84.0360196213238
85047,Rouvroy,2141,28.096762,76.20095155448871
90000,Province de Namur,502261,3674.8188280000004,136.676397805808
91000,Arrondissement de Dinant,112990,1596.2086960000001,70.78648317299981
91005,Anhée,7199,66.02847799999999,109.028713337902
91013,Beauraing,9460,174.626286,54.1728293986622
91015,Bièvre,3471,109.54757799999999,31.6848629916765
91030,Ciney,17103,147.869824,115.662543833149
91034,Dinant,13296,100.047349,132.897074564165
91054,Gedinne,4686,151.559494,30.9185513643903
91059,Hamois,7528,76.597964,98.27937463194189
91064,Havelange,5314,104.73167299999999,50.7391875617226
91072,Houyet,5116,122.84779,41.6450308141481
91103,Onhaye,3277,65.672018,49.8994868712577
91114,Rochefort,12615,166.342298,75.8375960394632
91120,Somme-Leuze,6019,95.234881,63.2016330235137
91141,Yvoir,9233,57.105625,161.682846479659
91142,Hastière,6168,56.591919,108.99082605769199
91143,Vresse-sur-Semois,2505,101.405519,24.7027974877778
92000,Arrondissement de Namur,322523,1167.695585,276.204692509821
92003,Andenne,28114,86.11013499999999,326.488862199554
92006,Assesse,7321,78.52707500000001,93.2289914020101
92035,Eghezée,16705,103.217932,161.84203341721698
92045,Floreffe,8115,39.123731,207.418868103351
92048,Fosses-la-Ville,10453,63.305305,165.120442907589
92054,Gesves,7392,65.028533,113.67317789561699
92087,Mettet,13465,116.965049,115.119859437668
92094,Namur,113286,175.92679800000002,643.938281648257
92097,Ohey,5206,56.675025,91.85703932199411
92101,Profondeville,12349,50.372892,245.15169786162
92114,Sombreffe,8438,35.887507,235.123604434267
92137,Sambreville,28392,34.270987,828.455859762662
92138,Fernelmont,8221,65.821094,124.899169861868
92140,Jemeppe-sur-Sambre,19257,46.943281999999996,410.218441906128
92141,La Bruyère,9292,53.042626,175.179863832533
92142,Gembloux,26517,96.47761399999999,274.851324577741
93000,Arrondissement de Philippeville,66748,910.914547,73.27580860337281
93010,Cerfontaine,4995,83.44171200000001,59.862146644354596
93014,Couvin,14000,206.966783,67.6437049321098
93018,Doische,2995,84.12050800000002,35.60368418127
93022,Florennes,11339,134.17504399999999,84.5090089927602
93056,Philippeville,9381,157.351548,59.618097942067905
93088,Walcourt,18398,123.64242200000001,148.800061519338
93090,Viroinval,5640,121.21653,46.52830764913
