refnis,score_moyen_base,frequence_1ere_place_base,score_moyen_mod,frequence_1ere_place_mod,delta_score,delta_freq
73009,2.2284271540685894,0.0,2.1662631720148195,0.0,-0.06216398205376983,0.0
25091,3.623027514001497,0.0,3.652910720987074,0.0,0.029883206985577004,0.0
25068,2.814062874027254,0.0,2.772554613669112,0.0,-0.041508260358142035,0.0
24086,2.2856400055170583,0.0,2.351603987409636,0.0,0.0659639818925779,0.0
21005,3.964134392821655,0.0,4.184106065567504,0.0,0.2199716727458494,0.0
92140,3.1563505748208147,0.0,3.0791186058555664,0.0,-0.07723196896524831,0.0
63061,2.5340481379397333,0.0,2.3140945147594327,0.0,-0.21995362318030054,0.0
63045,2.2432851278763977,0.0,1.957601771572593,0.0,-0.2856833563038046,0.0
53070,3.0995126471791816,0.0,2.8940662301192623,0.0,-0.20544641705991928,0.0
53039,2.637668429563637,0.0,2.5550829745833004,0.0,-0.08258545498033643,0.0
