simulation,pass_km_total_Mkm
154,70434.59995875195
155,69905.93000024426
156,69879.26798558015
157,70577.1454015844
158,72305.04771155854
159,70341.59594245664
160,71462.86236238354
161,69076.32195515824
162,71404.61010060969
163,69746.00966508596
164,70858.04030632724
165,69638.67375346426
166,71359.80245111273
167,71060.44094839942
168,69974.66176947886
169,71766.46063558184
170,71161.00771142267
171,70586.23993560465
172,71257.02810106146
173,70979.29985946088
174,70324.89876382709
175,71453.68292515771
176,69162.46552539029
177,70279.54084306305
178,71267.48987022816
179,70604.33653888172
180,70072.19146997244
181,71093.82506963596
182,70893.57344057104
183,72471.01379048245
184,72100.46903978525
185,70098.95490856178
186,72517.80194515229
187,70006.83102551999
188,72792.98877490225
189,69714.74448408218
190,70809.73874158213
191,70106.53356340405
192,72408.5426299513
193,69259.57239205987
194,71243.58767912223
195,70471.6465181742
196,71199.30531380631
197,71671.51382242316
198,70954.44418453402
199,70761.74872446762
200,71865.1355999829
201,69832.12905334262
202,71272.3992239629
203,70159.1790380997
204,69543.58389107429
205,70384.16139989028
206,69447.17688034916
207,69574.90282885761
208,71888.62788693607
209,72130.03695132749
210,70961.83643964663
211,71135.20012478791
212,71814.98339999848
213,69765.95103077222
214,71118.40217921637
215,70473.207453438
216,71798.40211881309
217,71118.36051811429
218,71306.81498853363
219,71138.2827320376
220,71468.79327762956
221,70240.68816804733
222,70114.43626386675
223,71071.90103344807
224,72267.74569094168
225,70919.92958127221
226,70977.80852971878
227,71175.83882072418
228,70846.71838315668
229,69937.37795225906
230,72556.4068773782
231,69757.57277887265
232,70795.15321184641
233,72632.7167903667
234,70889.50424909359
235,71006.72956986549
236,70522.6839215596
237,69537.64876903908
238,72941.79992267907
239,69627.63517080966
240,71570.03340621125
241,70611.23196827248
242,70669.39234164642
243,71157.37548090609
244,71050.85109016212
245,71105.46716772822
246,71686.04777268495
247,72576.52574940912
248,71965.51815500497
249,70268.88873650934
250,71398.39694796382
251,71947.1928613555
252,70097.64675057383
253,71182.51143156017
254,70221.18248814695
255,70148.72119318262
256,70617.04204073815
257,70899.42380895208
258,71829.53415943142
259,71290.02890781351
260,72108.41162179297
261,70539.11938381214
262,72355.32847368023
263,71445.26047804627
264,70384.71918945061
265,70664.95424343224
266,70331.86157891696
267,69980.61887559739
268,69804.71237906249
269,71621.47082213339
270,69105.36676965054
271,72519.11983530573
272,70107.22142926091
273,69733.59825803964
274,70318.16655268683
275,71761.66947728083
276,70206.43794613439
277,70770.74145118218
278,71377.88754815447
279,71821.64312107133
280,70744.41882384098
281,71360.11708557571
282,70201.5715898469
283,71401.39516076866
284,69688.6086073399
285,70836.09286403781
286,72539.58303020698
287,71560.10256449385
288,70471.23630538039
289,69629.38394124454
290,70718.13142423205
291,71633.4262863778
292,70752.10372998196
293,71182.57981667774
294,71426.91562607953
295,70748.14553179956
296,72350.65185891854
297,70777.14406402152
298,70166.35813818591
299,71009.32439196858
300,72115.42581908242
301,70678.75693796546
302,72155.735570602
303,70083.48616963082
304,71100.67616505116
305,71752.67613897302
306,68790.47526502176
307,72881.23339920965
308,71215.46603384952
309,70903.9047942531
310,70953.3535994429
311,70991.75476758198
312,71952.92477437212
313,69840.74362163858
314,70027.95962496867
315,71200.54012311711
316,71201.60224155676
317,69615.79683302296
318,72146.7245494473
319,71171.11841175354
320,69792.96538538382
321,69589.88231522404
322,71072.68729772553
323,71096.00892082788
324,72242.67937054901
325,71377.33333445631
326,71039.3883045148
327,71010.0163458721
328,69967.2010326073
329,69652.98747711797
330,70559.75423662482
331,70345.69699685826
332,70708.40114035159
333,72295.49833696126
334,70145.15743742854
335,72341.90698689778
336,71580.50937189764
337,70676.38016366669
338,70181.58631414275
339,70621.2283075736
340,70003.56751520697
341,70138.5360132789
342,69745.9786721831
343,71542.95654626313
344,69827.17995597287
345,71491.87854458463
346,70190.18021006399
347,70479.60894719134
348,69955.84784887936
349,71474.43577749438
350,71791.010741857
351,70014.70489434885
352,71267.50854170014
353,71538.43720503108
354,71877.82461337671
355,71063.0305399068
356,68851.27991399975
357,71541.78649889768
358,71454.94074094806
359,71440.01466283007
