simulation,pass_km_total_Mkm
294,51707.072087339875
295,50395.5593217898
296,53326.70571410631
297,50370.317815809125
298,49259.02217104729
299,50780.00155108673
300,52859.60191173218
301,50138.76245234122
302,52944.27527404233
303,49021.8044876779
304,51044.83930201591
305,52292.057577764084
306,46535.65009301959
307,54494.413138101074
308,51343.045637748364
309,50732.23974250897
310,50705.78707992005
311,50801.64072699074
312,52914.66984632819
313,48645.65662001083
314,49050.380400960436
315,51218.40177924689
316,51141.979912335315
317,48259.345717342294
318,53027.50804964618
319,51384.7821165517
320,48420.96139441381
321,48264.09147125867
322,50903.82619818005
323,51136.55396550048
324,53126.546073342426
325,51565.132669225844
326,50804.122732584976
327,50934.74134148578
328,48793.845311134704
329,48302.04090282885
330,49988.75112052281
331,49543.43506635033
332,50326.92057794064
333,53251.73369869064
334,49207.89423340093
335,53328.72419789506
336,51993.68040645065
337,50317.43533150358
338,49352.249997017134
339,50072.38989204083
340,48939.60032235871
341,49134.93925156389
342,48400.02021173814
343,51898.91447084065
344,48562.11560808132
345,51716.82831950671
346,49547.489506021775
347,49925.89248592799
348,48776.272907108716
349,51779.2193309086
350,52267.61675669405
351,49012.7475430634
352,51323.19947628871
353,51831.59578839572
354,52572.39727214244
355,51068.657123086836
356,46668.96295229875
357,51723.73668974887
358,51788.27805568222
359,51559.56655133966
360,50819.04957153606
361,50523.86458942789
362,49258.60980052785
363,50133.15361190575
364,51234.03300785395
365,52714.46805102978
366,49723.356233621475
367,50233.268397519096
368,49673.36732080139
369,50934.39606302808
370,52415.419654352765
371,53301.05046377501
372,49866.15081490988
373,51384.40313691227
374,50649.39844273439
375,48668.29689117525
376,47694.44764085277
377,53707.027717086516
378,46643.97635903013
379,53086.826364087756
380,51135.23945578519
381,54000.67156710404
382,50530.677813871334
383,49650.464962585436
384,51535.93650523197
385,49700.72284704417
386,52050.383288772115
387,54122.78580117421
388,52393.30998736725
389,47042.99523932505
390,49424.95060008171
391,48614.477541769804
392,48138.5542118505
393,50127.15836443569
394,49096.01387889463
395,51726.15716215505
396,51734.95382808281
397,48865.548447532645
398,51247.45005591768
399,50624.98745928382
400,50321.49886711706
401,49619.79617118025
402,48631.15820239436
403,51076.154132028016
404,50701.50468763137
405,49868.76772191298
406,48058.919128673886
407,52273.846997232926
408,51244.353380083194
409,52915.66585170757
410,52662.17366745534
411,50254.89084038743
412,53817.45212777627
413,49662.43067119278
414,49123.30559801333
415,48169.775027826894
416,51687.03311356367
417,48133.94394623484
418,51067.88242889013
419,50454.07158315016
420,49466.91145318063
421,51306.95019618527
422,49801.00768571916
423,52264.84984416275
424,49149.302434171965
425,50344.8104194207
426,48770.47056991334
427,51968.12118920305
428,52504.09140897847
429,51549.16371748445
430,45640.942688196534
431,48363.8198784647
432,51714.6640381246
433,49984.664199794875
434,53444.60188934115
435,52104.31555850685
436,49419.69276019098
437,52528.11599990823
438,53513.248171684354
439,48488.99212555867
