refnis,moyenne_evitees,ci_2.5,ci_97.5
73032,705.0862462389983,499.4275814073099,923.9197207667917
11035,0.5767758832029823,0.0,0.0
91120,0.0,0.0,0.0
91072,20.768417861791253,0.0,131.55804691492315
91015,0.0,0.0,0.0
85034,0.0,0.0,0.0
84050,0.0,0.0,0.0
61028,0.0006872217726825542,0.0,0.0
51014,0.4142230954706288,0.0,0.0
45065,0.0,0.0,0.0
41063,345.5381902074207,175.043165400568,526.8728110916043
24014,1409.8818374541922,1094.0696884673612,1729.768880664224
23002,990.6192957445197,391.98030711567895,1589.9074756459715
62051,6363.791623228711,5512.222679487366,7245.296035623862
57062,20.551248389756726,0.0,127.79686575820459
33016,0.0,0.0,0.0
23101,1501.4721468387577,1190.2191028781926,1826.8744046462486
21011,2238.964813714996,1916.9254299246343,2550.0694931886505
63046,3.1004866757747447,0.0,39.544439213582514
61024,0.0,0.0,0.0
52055,1558.1690961377974,1203.538742564032,1932.20334774555
51017,9.056495888205953,0.0,84.8487312784957
46021,6272.500623915092,4816.436311515871,7741.566324449988
45060,0.0,0.0,0.0
41081,2200.644409349333,1580.8173136555254,2822.562292441222
35014,0.00021746972646472448,0.0,0.0
32030,0.0,0.0,0.0
23060,1280.118238900604,972.9615123055969,1598.2069374475677
23039,849.2634584642284,645.4877633826094,1060.2917057129987
13016,1099.3154538298775,859.8421519426272,1347.6755696319021
63086,0.025600532624675605,0.0,0.0
62121,901.20929794345,630.131264868627,1179.36816688391
64076,1.0303834408193364,0.0,12.752009746052265
91034,0.0,0.0,0.0
91030,128.37564732661596,0.0,449.80413992222026
91005,23.427759902891108,0.0,155.74549565259937
61068,100.18382467399863,0.0,299.5621239442631
55040,1138.117028108318,614.0382072003557,1673.459016642278
52048,1092.6961047551863,813.4281972487628,1371.8785714971339
52021,2702.8334679643067,2131.319472154947,3288.560569412652
51069,1115.2160188771163,684.6842595440736,1555.643095710227
51004,3785.6061580430232,2962.766171725461,4608.0119910732255
44045,0.0,0.0,0.0
44043,3141.301707990101,2648.829397258983,3643.2418606679425
42010,945.388744510301,716.3891009967844,1188.2277842782498
37002,0.035547621414380795,0.0,0.0
25123,704.2266005134711,463.88118159991944,953.509709656015
63088,169.0842022911758,0.0,370.4487279031296
58003,19.05761418113733,0.0,156.99139392171892
57093,0.0,0.0,0.0
56051,0.0,0.0,0.0
44064,1320.929986439649,1089.7335581776456,1565.161745759991
44048,1140.0877867063696,833.9787313266647,1459.8895236274122
43014,0.0,0.0,0.0
34025,100.47846439228229,0.0,216.67457030818935
31004,3136.1734724237936,2720.8756352405876,3551.5003902478684
64063,474.804385147187,282.7835213653047,677.9729302666287
23102,1732.349479286831,1345.4880186366827,2121.9360841616153
13029,815.5405378164894,575.1696601364529,1064.6862125205503
72043,3182.5963982203643,2350.416316889128,4026.6680977330025
11039,871.3979506254524,301.84684410056343,1460.0531373359859
11025,619.840904617601,419.887793515889,828.4063215499126
11016,623.3277292880456,253.36917670837383,1009.4330637418136
62009,147.90971373331152,0.0,456.77690210105703
53082,1817.3911643890742,1376.0893958455313,2263.7961626922342
45061,0.0,0.0,0.0
