simulation,pass_km_total_Mkm
194,31645.21405803383
195,30662.685252803603
196,31745.581227226005
197,32531.41282523829
198,30907.690747756904
199,31121.150162833645
200,32567.88818812219
201,29195.826925258556
202,31786.114577129927
203,29257.00993671276
204,28255.392419640317
205,29968.954473401474
206,28506.56449672889
207,28839.41375795281
208,32309.469313319092
209,33159.14619846117
210,30907.115767728304
211,31182.68497060067
212,32190.507302264683
213,28873.63849244323
214,31833.87400066149
215,29863.45129399647
216,32904.00544330629
217,30998.34352607316
218,31310.261027439534
219,31709.3555966865
220,32524.04451079141
221,29756.53512485157
222,29799.658508748387
223,31756.520485866546
224,33606.74719944882
225,30872.030977418985
226,30870.242181441798
227,31749.93720965795
228,30985.094751062163
229,29416.22609149973
230,33903.81308102016
231,28623.336433600976
232,30899.340414498427
233,34163.02971551996
234,31364.03899818312
235,31116.98759807492
236,30524.196894580196
237,28637.973990914033
238,34387.5236956756
239,29144.394632485724
240,32619.012647311178
241,30320.61739494191
242,30567.795719421258
243,32038.59303183776
244,30540.552469509217
245,30620.204360301672
246,31976.508748434255
247,33654.842360681745
248,32575.082835305835
249,29698.806624931807
250,32019.82229704144
251,33123.89216144286
252,29467.678656093827
253,32062.80116010096
254,29545.830251500378
255,29973.16451949666
256,30408.563051578574
257,31226.70549605893
258,32926.17024043904
259,31509.434925590573
260,33122.37182958082
261,29814.992731578943
262,33915.861908507904
263,32599.16728088551
264,30318.961275369962
265,30460.06334414901
266,29960.081068655076
267,29742.16079934638
268,29214.46076558592
269,31997.559392429714
270,27944.57722499066
271,34781.6231703988
272,29644.268389192093
273,29132.031949522854
274,30621.34196280351
275,32673.739194548478
276,30022.165940688134
277,31020.40140687116
278,31910.847470007564
279,32231.360083595533
280,30711.13776241081
281,31491.257636353355
282,29809.494983107124
283,31628.93493685945
284,28518.262601075665
285,30909.85411244453
286,33823.659675367904
287,31927.69505308023
288,30300.437912357884
289,28466.515719356885
290,30494.353498805714
291,32465.258802738077
292,30854.61629007708
293,31131.1959904033
294,31944.986421684906
295,30819.67104599375
296,32824.001081760005
297,30847.851966896247
298,29496.25640269275
299,31793.39589687039
300,32674.41865140728
301,30528.859304068337
302,33574.1084261136
303,30278.602401803895
304,31591.45705257013
305,32823.24839560627
306,27081.857307930004
307,34502.08532646146
308,31338.74278719495
309,31066.117647052273
310,31495.918162935628
311,30571.343536599703
312,32860.01764724789
313,29640.76607429943
314,29175.062179800538
315,31437.633861624076
316,31441.28265993415
317,28784.398303936243
318,33373.766127426774
319,31109.656799725683
320,29696.679310642023
321,28952.61096176195
322,31044.81413715277
323,30951.436112794272
324,33324.114932599325
325,31833.08550680818
326,30665.274612305253
327,31222.42220091422
328,29616.168022378402
329,28429.150320922752
330,30806.01851069683
331,30232.13594237117
332,30453.158679620683
333,33665.47242775788
334,29736.64752256891
335,33839.15404455398
336,32305.29761398907
337,30911.793998419373
